Min of_Band_1,Max of_Band_1,Label,Count
0,10.1,0-10.1,"6,006,406"
10.1,20.2,10.1-20.2,27
20.2,30.2,20.2-30.2,6
30.2,40.3,30.2-40.3,0
40.3,50.4,40.3-50.4,1
50.4,60.5,50.4-60.5,0
60.5,70.6,60.5-70.6,0
70.6,80.7,70.6-80.7,0
80.7,90.7,80.7-90.7,0
90.7,100.8,90.7-100.8,0
100.8,110.9,100.8-110.9,0
110.9,121,110.9-121,0
121,131.1,121-131.1,0
131.1,141.2,131.1-141.2,0
141.2,151.2,141.2-151.2,0
151.2,161.3,151.2-161.3,0
161.3,171.4,161.3-171.4,0
171.4,181.5,171.4-181.5,0
181.5,191.6,181.5-191.6,0
191.6,201.7,191.6-201.7,0
201.7,211.7,201.7-211.7,0
211.7,221.8,211.7-221.8,0
221.8,231.9,221.8-231.9,0
231.9,242,231.9-242,0
242,252.1,242-252.1,0
252.1,262.2,252.1-262.2,0
262.2,272.2,262.2-272.2,0
272.2,282.3,272.2-282.3,0
282.3,292.4,282.3-292.4,0
292.4,302.5,292.4-302.5,0
302.5,312.6,302.5-312.6,0
312.6,322.7,312.6-322.7,1
